Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
PAPERS OF THE BIBLIOGRAPHICAL SOCIETY OF AMERICA	0006-128X	2377-6528	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.22
COMPUTATIONAL LINGUISTICS	0891-2017	1530-9312	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	2.51
FABULA	0014-6242	1613-0464	FOLKLORE - AHCI	N/A	N/A	0.62
Folk Life-Journal of Ethnological Studies	0430-8778	1759-670X	FOLKLORE - AHCI	N/A	N/A	1.90
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE	0039-3681	1879-2510	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.96
Gripla	1018-5011	N/A	LITERATURE, GERMAN, DUTCH, SCANDINAVIAN - AHCI$MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	1.10
Iran-Journal of the British Institute of Persian Studies	0578-6967	2396-9202	ARCHAEOLOGY - AHCI$ASIAN STUDIES - AHCI	N/A	N/A	0.84
Archaeological Prospection	1075-2196	1099-0763	ARCHAEOLOGY - AHCI	N/A	N/A	1.00
Acta Koreana	1520-7412	N/A	ASIAN STUDIES - AHCI	N/A	N/A	0.42
ENGLISH STUDIES	0013-838X	1744-4217	LITERATURE - AHCI	N/A	N/A	1.13
Acta Historica Tallinnensia	1406-2925	1736-7476	HISTORY - AHCI	N/A	N/A	0.45
AMERICAN INDIAN CULTURE AND RESEARCH JOURNAL	0161-6463	0161-6463	HISTORY - AHCI	N/A	N/A	0.85
LIT-Literature Interpretation Theory	1043-6928	1545-5866	LITERARY THEORY & CRITICISM - AHCI	N/A	N/A	1.88
Early Science and Medicine	1383-7427	1573-3823	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.38
Atalante-Revista de Estudios Cinematograficos	1885-3730	2340-6992	FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.28
Journal of Postcolonial Writing	1744-9855	1744-9863	LITERATURE - AHCI	N/A	N/A	1.52
Journal of Landscape Architecture	1862-6033	2164-604X	ARCHITECTURE - AHCI	N/A	N/A	1.35
SCANDINAVIAN JOURNAL OF HISTORY	0346-8755	1502-7716	HISTORY - AHCI	N/A	N/A	1.38
PORTUGUESE STUDIES	0267-5315	2222-4270	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.19
Palestine Exploration Quarterly	0031-0328	1743-1301	ARCHAEOLOGY - AHCI$HISTORY - AHCI	N/A	N/A	0.79
PUBLIC CULTURE	0899-2363	1527-8018	CULTURAL STUDIES - AHCI	N/A	N/A	1.13
AMERICAN LITERARY REALISM	0002-9823	2326-9235	LITERATURE, AMERICAN - AHCI	N/A	N/A	0.86
Early Medieval Europe	0963-9462	1468-0254	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	3.55
HISPANIA-A JOURNAL DEVOTED TO THE TEACHING OF SPANISH AND PORTUGUESE	0018-2133	2153-6414	LANGUAGE & LINGUISTICS - AHCI$LITERATURE, ROMANCE - AHCI	N/A	N/A	1.04
Ancient Mesoamerica	0956-5361	1469-1787	ARCHAEOLOGY - AHCI	N/A	N/A	1.53
ANTIKE UND ABENDLAND	0003-5696	1613-0421	CLASSICS - AHCI	N/A	N/A	0.00
INSULA-REVISTA DE LETRAS Y CIENCIAS HUMANAS	0020-4536	N/A	LITERARY THEORY & CRITICISM - AHCI	N/A	N/A	0.09
MEDIUM AEVUM	0025-8385	N/A	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	0.86
International Journal of Cultural Studies	1367-8779	1460-356X	CULTURAL STUDIES - AHCI	N/A	N/A	1.62
JOURNAL OF ARCHAEOLOGICAL SCIENCE	0305-4403	1095-9238	ARCHAEOLOGY - AHCI	N/A	N/A	1.80
Critical Arts-South-North Cultural and Media Studies	0256-0046	1992-6049	CULTURAL STUDIES - AHCI	N/A	N/A	0.35
SOUNDINGS	0038-1861	2161-6302	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.33
RELIGIOUS EDUCATION	0034-4087	1547-3201	RELIGION - AHCI	N/A	N/A	0.99
PARABOLA	0362-1596	0362-1596	RELIGION - AHCI	N/A	N/A	0.01
Pamatky Archeologicke	0031-0506	N/A	ARCHAEOLOGY - AHCI	N/A	N/A	0.77
JOURNAL OF PHONETICS	0095-4470	1095-8576	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	3.01
JOURNAL OF THE WEST	0022-5169	1930-0115	HISTORY - AHCI	N/A	N/A	0.05
Bruniana & Campanelliana	1125-3819	1724-0441	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	0.47
HISTORIA MATHEMATICA	0315-0860	1090-249X	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.31
International Journal of Systematic Theology	1463-1652	1468-2400	RELIGION - AHCI	N/A	N/A	0.81
AUSTRALIAN JOURNAL OF FRENCH STUDIES	0004-9468	2046-2913	LITERATURE, ROMANCE - AHCI	N/A	N/A	2.24
PUBLIC HISTORIAN	0272-3433	N/A	HISTORY - AHCI	N/A	N/A	1.38
Social Semiotics	1035-0330	1470-1219	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	2.08
CANADIAN THEATRE REVIEW	0315-0836	1920-941X	THEATER - AHCI	N/A	N/A	0.74
BULGARIAN HISTORICAL REVIEW-REVUE BULGARE D HISTOIRE	0204-8906	N/A	HISTORY - AHCI	N/A	N/A	0.23
Adalya	1301-2746	N/A	ARCHAEOLOGY - AHCI	N/A	N/A	0.11
Kwartalnik Historii Zydow-Jewish History Quarterly	1899-3044	1899-3044	HISTORY - AHCI	N/A	N/A	0.18
Southern African Humanities	1681-5564	N/A	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	2.20
JOURNAL OF WORLD PREHISTORY	0892-7537	1573-7802	ARCHAEOLOGY - AHCI	N/A	N/A	2.13
OCEANIC LINGUISTICS	0029-8115	1527-9421	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.43
