Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
PHYSICAL REVIEW E	2470-0045	2470-0053	PHYSICS, FLUIDS & PLASMAS - SCIE$PHYSICS, MATHEMATICAL - SCIE	2.707	Q1	0.98
JOURNAL OF MAMMALIAN EVOLUTION	1064-7554	1573-7055	ZOOLOGY - SCIE	2.412	Q1	1.16
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE	1078-6791	1078-6791	INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE	1.804	Q4	0.35
Animals	2076-2615	2076-2615	AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE$VETERINARY SCIENCES - SCIE	3.231	Q1	1.34
LARYNGOSCOPE	0023-852X	1531-4995	MEDICINE, RESEARCH & EXPERIMENTAL - SCIE$OTORHINOLARYNGOLOGY - SCIE	2.970	Q2	1.00
CLINICAL EEG AND NEUROSCIENCE	1550-0594	2169-5202	CLINICAL NEUROLOGY - SCIE$NEUROIMAGING - SCIE$NEUROSCIENCES - SCIE$PSYCHIATRY - SCIE$PSYCHOLOGY - SCIE	2.046	Q4	0.48
ANNALS OF HUMAN BIOLOGY	0301-4460	1464-5033	BIOLOGY - SCIE$PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE	1.868	Q3	0.66
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS	0218-1274	1793-6551	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE$MULTIDISCIPLINARY SCIENCES - SCIE	2.450	Q2	0.85
Probiotics and Antimicrobial Proteins	1867-1306	1867-1314	BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE$MICROBIOLOGY - SCIE	5.265	Q2	1.13
ALEA-Latin American Journal of Probability and Mathematical Statistics	1980-0436	N/A	STATISTICS & PROBABILITY - SCIE	0.732	Q4	0.31
ORGANIC GEOCHEMISTRY	0146-6380	1873-5290	GEOCHEMISTRY & GEOPHYSICS - SCIE	3.623	Q2	0.97
International Journal of Osteopathic Medicine	1746-0689	1878-0164	MEDICINE, GENERAL & INTERNAL - SCIE$REHABILITATION - SCIE	2.000	Q3	0.70
JOURNAL OF ELECTROCERAMICS	1385-3449	1573-8663	MATERIALS SCIENCE, CERAMICS - SCIE	1.814	Q3	0.44
LIMNOLOGICA	0075-9511	1873-5851	LIMNOLOGY - SCIE	2.298	Q2	0.72
CURRENT OPINION IN IMMUNOLOGY	0952-7915	1879-0372	IMMUNOLOGY - SCIE	7.268	Q2	0.70
Journal of Sustainable Cement-Based Materials	2165-0373	2165-0381	CONSTRUCTION & BUILDING TECHNOLOGY - SCIE$GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE$MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE	5.328	Q1	0.77
IEEE TRANSACTIONS ON BROADCASTING	0018-9316	1557-9611	ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE$TELECOMMUNICATIONS - SCIE	5.194	Q1	1.26
FOOD TECHNOLOGY AND BIOTECHNOLOGY	1330-9862	1334-2606	BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE$FOOD SCIENCE & TECHNOLOGY - SCIE	2.330	Q3	0.59
Biomed Research International	2314-6133	2314-6141	BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE$MEDICINE, RESEARCH & EXPERIMENTAL - SCIE	3.246	Q3	0.60
JOURNAL OF SWINE HEALTH AND PRODUCTION	1537-209X	N/A	VETERINARY SCIENCES - SCIE	1.029	Q3	0.59
JOURNAL OF MEDICAL ECONOMICS	1369-6998	1941-837X	HEALTH CARE SCIENCES & SERVICES - SCIE$MEDICINE, GENERAL & INTERNAL - SCIE	2.956	Q3	0.92
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE	1027-3719	1815-7920	INFECTIOUS DISEASES - SCIE$RESPIRATORY SYSTEM - SCIE	3.427	Q3	0.55
JOURNAL OF PSYCHIATRIC RESEARCH	0022-3956	1879-1379	PSYCHIATRY - SCIE	5.250	Q2	1.20
ORGANIC ELECTRONICS	1566-1199	1878-5530	MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE$PHYSICS, APPLIED - SCIE	3.868	Q2	0.72
MEDICAL CARE RESEARCH AND REVIEW	1077-5587	1552-6801	HEALTH CARE SCIENCES & SERVICES - SCIE	2.971	Q3	0.99
Drug Design Development and Therapy	1177-8881	N/A	CHEMISTRY, MEDICINAL - SCIE$PHARMACOLOGY & PHARMACY - SCIE	4.319	Q2	1.04
MYCOTAXON	0093-4666	0093-4666	MYCOLOGY - SCIE	0.545	Q4	0.16
DIGESTIVE AND LIVER DISEASE	1590-8658	1878-3562	GASTROENTEROLOGY & HEPATOLOGY - SCIE	5.165	Q2	0.83
STATISTICS	0233-1888	1029-4910	STATISTICS & PROBABILITY - SCIE	2.346	Q2	0.41
JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH	2169-9313	2169-9356	GEOCHEMISTRY & GEOPHYSICS - SCIE	4.390	Q1	1.19
Journal of Science Education and Technology	1059-0145	1573-1839	EDUCATION, SCIENTIFIC DISCIPLINES - SCIE	3.419	Q2	1.47
ALCHERINGA	0311-5518	1752-0754	PALEONTOLOGY - SCIE	1.395	Q4	0.62
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability	1748-006X	1748-0078	ENGINEERING, INDUSTRIAL - SCIE$ENGINEERING, MULTIDISCIPLINARY - SCIE$OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE	2.021	Q3	0.42
JOURNAL OF MAMMALOGY	0022-2372	1545-1542	ZOOLOGY - SCIE	2.295	Q2	1.28
CIRUGIA ESPANOLA	0009-739X	1578-147X	SURGERY - SCIE	2.242	Q3	0.62
Cytoskeleton	1949-3584	1949-3592	CELL BIOLOGY - SCIE	2.844	Q4	0.29
CURRENT MOLECULAR MEDICINE	1566-5240	1875-5666	MEDICINE, RESEARCH & EXPERIMENTAL - SCIE	2.616	Q4	0.45
ONLINE INFORMATION REVIEW	1468-4527	1468-4535	COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE	2.901	Q3	0.74
HIGH TEMPERATURE MATERIALS AND PROCESSES	0334-6455	2191-0324	MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE	1.121	Q4	0.16
INTERNATIONAL JOURNAL OF MORPHOLOGY	0717-9502	0717-9367	ANATOMY & MORPHOLOGY - SCIE	0.504	Q4	0.26
Journal of Sport Rehabilitation	1056-6716	1543-3072	REHABILITATION - SCIE$SPORT SCIENCES - SCIE	2.203	Q3	0.92
JOURNAL OF TERRAMECHANICS	0022-4898	1879-1204	ENGINEERING, ENVIRONMENTAL - SCIE	2.284	Q4	0.26
Journal of Attention Disorders	1087-0547	1557-1246	PSYCHIATRY - SCIE	3.196	Q3	1.06
BRITISH JOURNAL OF HAEMATOLOGY	0007-1048	1365-2141	HEMATOLOGY - SCIE	8.615	Q1	0.95
Advanced Therapeutics	N/A	2366-3987	PHARMACOLOGY & PHARMACY - SCIE	5.003	Q2	1.21
Journal of Grid Computing	1570-7873	1572-9184	COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE$COMPUTER SCIENCE, THEORY & METHODS - SCIE	4.674	Q1	1.19
MARINE ENVIRONMENTAL RESEARCH	0141-1136	1879-0291	ENVIRONMENTAL SCIENCES - SCIE$MARINE & FRESHWATER BIOLOGY - SCIE$TOXICOLOGY - SCIE	3.737	Q1	0.91
Diagnostics	N/A	2075-4418	MEDICINE, GENERAL & INTERNAL - SCIE	3.992	Q2	0.78
Ankara Universitesi Veteriner Fakultesi Dergisi	1300-0861	1308-2817	VETERINARY SCIENCES - SCIE	0.636	Q4	0.26
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE	0906-4702	1651-1972	AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE	0.794	Q4	0.31
NEOTROPICAL ENTOMOLOGY	1519-566X	1678-8052	ENTOMOLOGY - SCIE	1.650	Q3	0.70
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY	0300-5771	1464-3685	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE	9.685	Q1	2.47
ONCOGENE	0950-9232	1476-5594	BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE$CELL BIOLOGY - SCIE$GENETICS & HEREDITY - SCIE$ONCOLOGY - SCIE	8.756	Q1	1.66
EARTH SCIENCES HISTORY	0736-623X	1944-6187	GEOSCIENCES, MULTIDISCIPLINARY - SCIE$HISTORY & PHILOSOPHY OF SCIENCE - SCIE	0.357	Q4	0.19
Journal of Orthopaedic Surgery	1022-5536	2309-4990	ORTHOPEDICS - SCIE$SURGERY - SCIE	1.482	Q4	0.46
Mathematical Communications	1331-0623	1331-0623	MATHEMATICS - SCIE$MATHEMATICS, APPLIED - SCIE	0.900	Q3	0.64
Ad Hoc & Sensor Wireless Networks	1551-9899	1552-0633	COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE$TELECOMMUNICATIONS - SCIE	0.400	Q4	0.17
Differential and Integral Equations	0893-4983	0893-4983	MATHEMATICS - SCIE$MATHEMATICS, APPLIED - SCIE	1.263	Q2	0.92
Journal of Industrial Information Integration	2467-964X	2452-414X	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE$ENGINEERING, INDUSTRIAL - SCIE	11.718	Q1	1.87
HEADACHE	0017-8748	1526-4610	CLINICAL NEUROLOGY - SCIE	5.311	Q1	1.22
ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER	0940-9602	1618-0402	ANATOMY & MORPHOLOGY - SCIE	2.976	Q1	1.46
INTERNATIONAL JOURNAL OF REFRIGERATION	0140-7007	1879-2081	ENGINEERING, MECHANICAL - SCIE$THERMODYNAMICS - SCIE	4.140	Q1	0.97
BLOOD PRESSURE	0803-7051	1651-1999	PERIPHERAL VASCULAR DISEASE - SCIE	1.771	Q4	0.72
Environmental Sciences Europe	2190-4707	2190-4715	ENVIRONMENTAL SCIENCES - SCIE	5.481	Q2	0.94
2D Materials	2053-1583	2053-1583	MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE	6.861	Q2	1.13
Indian Journal of Surgery	0972-2068	0973-9793	SURGERY - SCIE	0.437	Q4	0.16
CASTANEA	0008-7475	1938-4386	PLANT SCIENCES - SCIE	0.255	Q4	0.10
CRITICAL REVIEWS IN PLANT SCIENCES	0735-2689	1549-7836	PLANT SCIENCES - SCIE	6.289	Q1	0.56
IEICE Electronics Express	1349-2543	1349-2543	ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE	0.709	Q4	0.17
Biomedical Engineering Letters	2093-9868	2093-985X	ENGINEERING, BIOMEDICAL - SCIE	3.920	Q2	0.73
JOURNAL OF DERMATOLOGY	0385-2407	1346-8138	DERMATOLOGY - SCIE	3.468	Q2	0.95
European Review for Medical and Pharmacological Sciences	1128-3602	1128-3602	PHARMACOLOGY & PHARMACY - SCIE	3.784	Q2	1.07
Engenharia Sanitaria e Ambiental	1413-4152	1809-4457	WATER RESOURCES - SCIE	0.551	Q4	0.12
ARCHIVES OF MEDICAL RESEARCH	0188-4409	1873-5487	MEDICINE, RESEARCH & EXPERIMENTAL - SCIE	8.323	Q1	0.85
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY	0022-0930	1608-3202	BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE$EVOLUTIONARY BIOLOGY - SCIE$PHYSIOLOGY - SCIE	1.621	Q4	0.10
AQUACULTURE INTERNATIONAL	0967-6120	1573-143X	FISHERIES - SCIE	2.953	Q2	0.82
INTERNATIONAL STATISTICAL REVIEW	0306-7734	1751-5823	STATISTICS & PROBABILITY - SCIE	1.946	Q2	0.91
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS	0006-291X	1090-2104	BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE$BIOPHYSICS - SCIE	3.322	Q3	0.76
International Journal of Health Policy and Management	N/A	2322-5939	HEALTH CARE SCIENCES & SERVICES - SCIE	4.967	Q1	0.99
Stochastics and Dynamics	0219-4937	1793-6799	STATISTICS & PROBABILITY - SCIE	1.450	Q3	0.49
International Journal of Implant Dentistry	N/A	2198-4034	DENTISTRY, ORAL SURGERY & MEDICINE - SCIE	2.984	Q2	0.95
PHARMACOLOGY & THERAPEUTICS	0163-7258	1879-016X	PHARMACOLOGY & PHARMACY - SCIE	13.400	Q1	1.80
AUSTRALIAN JOURNAL OF CHEMISTRY	0004-9425	1445-0038	CHEMISTRY, MULTIDISCIPLINARY - SCIE	1.224	Q4	0.21
BIOSYSTEMS	0303-2647	1872-8324	BIOLOGY - SCIE$MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE	1.957	Q3	0.50
Structural Concrete	1464-4177	1751-7648	CONSTRUCTION & BUILDING TECHNOLOGY - SCIE$ENGINEERING, CIVIL - SCIE	2.793	Q2	0.62
Radioengineering	1210-2512	N/A	ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE	1.105	Q4	0.25
JOURNAL OF OPTICAL TECHNOLOGY	1070-9762	1091-0786	OPTICS - SCIE	0.412	Q4	0.13
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY	1058-0360	1558-9110	AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE$REHABILITATION - SCIE	4.018	Q1	1.36
Journal of the American Heart Association	N/A	2047-9980	CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE	6.107	Q2	1.20
International Journal of Forest Engineering	1494-2119	1913-2220	FORESTRY - SCIE	1.804	Q3	0.66
Topics in Companion Animal Medicine	1938-9736	1946-9837	VETERINARY SCIENCES - SCIE	1.108	Q3	0.52
INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY	0950-5423	1365-2621	FOOD SCIENCE & TECHNOLOGY - SCIE	3.612	Q2	0.74
JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS	0140-7783	1365-2885	PHARMACOLOGY & PHARMACY - SCIE$VETERINARY SCIENCES - SCIE	1.567	Q3	0.58
Autophagy	1554-8627	1554-8635	CELL BIOLOGY - SCIE	13.391	Q1	1.51
CARDIOLOGY	0008-6312	1421-9751	CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE	2.342	Q3	0.43
CHINESE JOURNAL OF ELECTRONICS	1022-4653	2075-5597	ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE	1.019	Q4	0.26
Journal of Clinical Hypertension	1524-6175	1751-7176	PERIPHERAL VASCULAR DISEASE - SCIE	2.885	Q3	0.57
Hydrology Research	1998-9563	2224-7955	WATER RESOURCES - SCIE	2.752	Q3	0.72
ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS	1068-9613	1068-9613	MATHEMATICS, APPLIED - SCIE	1.213	Q3	0.53
GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS	0309-1929	1029-0419	ASTRONOMY & ASTROPHYSICS - SCIE$GEOCHEMISTRY & GEOPHYSICS - SCIE$MECHANICS - SCIE	1.590	Q3	0.37
Chiropractic & Manual Therapies	N/A	2045-709X	REHABILITATION - SCIE	1.868	Q3	0.68
AGRICULTURAL AND FOOD SCIENCE	1459-6067	1795-1895	AGRICULTURE, MULTIDISCIPLINARY - SCIE$FOOD SCIENCE & TECHNOLOGY - SCIE	1.242	Q3	0.32
Environmental Earth Sciences	1866-6280	1866-6299	ENVIRONMENTAL SCIENCES - SCIE$GEOSCIENCES, MULTIDISCIPLINARY - SCIE$WATER RESOURCES - SCIE	3.119	Q2	0.67
International Journal of Optomechatronics	1559-9612	1559-9620	ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE$ENGINEERING, MECHANICAL - SCIE$OPTICS - SCIE	4.500	Q1	0.86
JOURNAL OF MATERIALS IN CIVIL ENGINEERING	0899-1561	1943-5533	CONSTRUCTION & BUILDING TECHNOLOGY - SCIE$ENGINEERING, CIVIL - SCIE$MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE	3.651	Q2	0.70
MECHANICAL ENGINEERING	0025-6501	1943-5649	ENGINEERING, MECHANICAL - SCIE	1.092	Q4	0.05
SURFACE AND INTERFACE ANALYSIS	0142-2421	1096-9918	CHEMISTRY, PHYSICAL - SCIE	1.702	Q4	0.21
NEUROGASTROENTEROLOGY AND MOTILITY	1350-1925	1365-2982	CLINICAL NEUROLOGY - SCIE$GASTROENTEROLOGY & HEPATOLOGY - SCIE$NEUROSCIENCES - SCIE	3.960	Q2	0.76
IEEE Intelligent Transportation Systems Magazine	1939-1390	1941-1197	ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE$TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE	5.293	Q1	1.04
JOURNAL OF REPRODUCTIVE IMMUNOLOGY	0165-0378	1872-7603	IMMUNOLOGY - SCIE$REPRODUCTIVE BIOLOGY - SCIE	3.993	Q2	0.82
BIOPHARMACEUTICS & DRUG DISPOSITION	0142-2782	1099-081X	PHARMACOLOGY & PHARMACY - SCIE	1.831	Q4	0.49
MATHEMATISCHE ZEITSCHRIFT	0025-5874	1432-1823	MATHEMATICS - SCIE	0.820	Q3	0.82
NATURE REVIEWS GENETICS	1471-0056	1471-0064	GENETICS & HEREDITY - SCIE	59.924	Q1	6.14
Coatings	N/A	2079-6412	MATERIALS SCIENCE, COATINGS & FILMS - SCIE$MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE$PHYSICS, APPLIED - SCIE	3.236	Q2	0.55
BMC Pregnancy and Childbirth	N/A	1471-2393	OBSTETRICS & GYNECOLOGY - SCIE	3.105	Q2	1.05
Journal of Mountain Science	1672-6316	1993-0321	ENVIRONMENTAL SCIENCES - SCIE	2.371	Q4	0.40
JOURNAL OF THE ELECTROCHEMICAL SOCIETY	0013-4651	1945-7111	ELECTROCHEMISTRY - SCIE$MATERIALS SCIENCE, COATINGS & FILMS - SCIE	4.371	Q2	0.75
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY	1524-1904	1526-4025	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE$OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE$STATISTICS & PROBABILITY - SCIE	1.497	Q3	0.44
Database-The Journal of Biological Databases and Curation	1758-0463	1758-0463	MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE	4.462	Q1	0.82
Sports Medicine-Open	2199-1170	2198-9761	SPORT SCIENCES - SCIE	6.766	Q1	1.33
JOURNAL OF ENVIRONMENTAL HEALTH	0022-0892	0022-0892	ENVIRONMENTAL SCIENCES - SCIE$PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE	0.855	Q4	0.13
Genetic Programming and Evolvable Machines	1389-2576	1573-7632	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE$COMPUTER SCIENCE, THEORY & METHODS - SCIE	2.522	Q2	0.55
MOLECULAR NUTRITION & FOOD RESEARCH	1613-4125	1613-4133	FOOD SCIENCE & TECHNOLOGY - SCIE	6.575	Q1	1.24
ULTRASOUND IN OBSTETRICS & GYNECOLOGY	0960-7692	1469-0705	ACOUSTICS - SCIE$OBSTETRICS & GYNECOLOGY - SCIE$RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE	8.678	Q1	2.20
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE	1022-0119	1727-9380	ECOLOGY - SCIE$ENVIRONMENTAL SCIENCES - SCIE	1.966	Q3	0.46
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES	1079-5014	1758-5368	GERIATRICS & GERONTOLOGY - SCIE$PSYCHOLOGY - SCIE	4.942	Q1	1.61
Plasmonics	1557-1955	1557-1963	CHEMISTRY, PHYSICAL - SCIE$MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE$NANOSCIENCE & NANOTECHNOLOGY - SCIE	2.726	Q3	0.38
GEOLOGY OF ORE DEPOSITS	1075-7015	1555-6476	GEOLOGY - SCIE$MINERALOGY - SCIE	0.679	Q4	0.25
DOKLADY CHEMISTRY	0012-5008	1608-3113	CHEMISTRY, MULTIDISCIPLINARY - SCIE	0.645	Q4	0.10
Optical Materials Express	2159-3930	N/A	MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE$OPTICS - SCIE	3.074	Q2	0.82
AUSTRAL JOURNAL OF VETERINARY SCIENCES	0719-8000	N/A	VETERINARY SCIENCES - SCIE	0.711	Q4	0.37
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH	N/A	1756-9966	ONCOLOGY - SCIE	12.658	Q1	2.00
Biopreservation and Biobanking	1947-5535	1947-5543	CELL BIOLOGY - SCIE$MEDICAL LABORATORY TECHNOLOGY - SCIE	2.256	Q3	0.45
ANNALS OF NUTRITION AND METABOLISM	0250-6807	1421-9697	ENDOCRINOLOGY & METABOLISM - SCIE$NUTRITION & DIETETICS - SCIE	5.923	Q1	0.70
JOURNAL OF PHYTOPATHOLOGY	0931-1785	1439-0434	PLANT SCIENCES - SCIE	1.826	Q3	0.44
Seminars in Ophthalmology	0882-0538	1744-5205	OPHTHALMOLOGY - SCIE	2.246	Q3	0.72
ARCHIVE FOR MATHEMATICAL LOGIC	0933-5846	1432-0665	LOGIC - SCIE$MATHEMATICS - SCIE	0.492	Q4	0.54
Journal of Intensive Care	2052-0492	2052-0492	CRITICAL CARE MEDICINE - SCIE	7.520	Q1	0.93
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY	1050-6411	1873-5711	NEUROSCIENCES - SCIE$PHYSIOLOGY - SCIE$REHABILITATION - SCIE$SPORT SCIENCES - SCIE	2.641	Q2	0.78
ADVANCES IN SPACE RESEARCH	0273-1177	1879-1948	ASTRONOMY & ASTROPHYSICS - SCIE$ENGINEERING, AEROSPACE - SCIE$GEOSCIENCES, MULTIDISCIPLINARY - SCIE$METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE	2.611	Q2	0.70
CLINICAL MICROBIOLOGY AND INFECTION	1198-743X	1469-0691	INFECTIOUS DISEASES - SCIE$MICROBIOLOGY - SCIE	13.310	Q1	1.70
SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND	1479-666X	2405-5840	SURGERY - SCIE	2.632	Q2	0.78
ORGANOMETALLICS	0276-7333	1520-6041	CHEMISTRY, INORGANIC & NUCLEAR - SCIE$CHEMISTRY, ORGANIC - SCIE	3.837	Q2	1.13
CONSERVATION BIOLOGY	0888-8892	1523-1739	BIODIVERSITY CONSERVATION - SCIE$ECOLOGY - SCIE$ENVIRONMENTAL SCIENCES - SCIE	7.563	Q1	1.46
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY	1434-193X	1099-0690	CHEMISTRY, ORGANIC - SCIE	3.261	Q2	0.74
Photodiagnosis and Photodynamic Therapy	1572-1000	1873-1597	ONCOLOGY - SCIE	3.577	Q3	0.67
TOXICOLOGY AND INDUSTRIAL HEALTH	0748-2337	1477-0393	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE$TOXICOLOGY - SCIE	1.851	Q4	0.51
Journal of Nanoelectronics and Optoelectronics	1555-130X	1555-1318	ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE$NANOSCIENCE & NANOTECHNOLOGY - SCIE$PHYSICS, APPLIED - SCIE	0.697	Q4	0.15
OPTO-ELECTRONICS REVIEW	1230-3402	1896-3757	ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE$OPTICS - SCIE$PHYSICS, APPLIED - SCIE	2.227	Q3	0.50
JOURNAL OF ELASTICITY	0374-3535	1573-2681	ENGINEERING, MULTIDISCIPLINARY - SCIE$MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE$MECHANICS - SCIE	1.742	Q3	0.52
Ambix	0002-6980	1745-8234	HISTORY & PHILOSOPHY OF SCIENCE - SCIE	0.618	Q3	0.54
JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME	0094-4289	1528-8889	ENGINEERING, MECHANICAL - SCIE$MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE	1.626	Q4	0.34
EXPERIMENTAL AND APPLIED ACAROLOGY	0168-8162	1572-9702	ENTOMOLOGY - SCIE	2.380	Q2	0.95
PROGRESS IN SOLID STATE CHEMISTRY	0079-6786	1873-1643	CHEMISTRY, INORGANIC & NUCLEAR - SCIE	8.389	Q1	0.59
Facets	2371-1671	2371-1671	MULTIDISCIPLINARY SCIENCES - SCIE	2.862	Q2	0.66
Natural Product Communications	1934-578X	1555-9475	CHEMISTRY, MEDICINAL - SCIE$FOOD SCIENCE & TECHNOLOGY - SCIE	1.496	Q4	0.27
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE	0954-4119	2041-3033	ENGINEERING, BIOMEDICAL - SCIE	1.763	Q4	0.33
FUNDAMENTA MATHEMATICAE	0016-2736	1730-6329	MATHEMATICS - SCIE	0.589	Q4	0.53
BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK	2245-7070	2245-7070	GEOSCIENCES, MULTIDISCIPLINARY - SCIE	2.278	Q3	0.47
JOURNAL OF PSYCHOPHYSIOLOGY	0269-8803	2151-2124	NEUROSCIENCES - SCIE	1.229	Q4	0.39
JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME	0892-7219	1528-896X	ENGINEERING, MECHANICAL - SCIE$ENGINEERING, OCEAN - SCIE	1.760	Q3	0.49
Australian Journal of Forensic Sciences	0045-0618	1834-562X	MEDICINE, LEGAL - SCIE	1.210	Q4	0.57
Soil and Water Research	1801-5395	1805-9384	SOIL SCIENCE - SCIE$WATER RESOURCES - SCIE	2.685	Q3	0.54
PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS	0952-3278	1532-2823	BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE$CELL BIOLOGY - SCIE$ENDOCRINOLOGY & METABOLISM - SCIE	3.015	Q3	0.64
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING	0921-5093	1873-4936	MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE$METALLURGY & METALLURGICAL ENGINEERING - SCIE$NANOSCIENCE & NANOTECHNOLOGY - SCIE	6.044	Q1	1.12
Orthopaedic Surgery	1757-7853	1757-7861	ORTHOPEDICS - SCIE	2.279	Q3	0.77
REDOX REPORT	1351-0002	1743-2928	BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE	5.696	Q2	0.69
Gels	N/A	2310-2861	POLYMER SCIENCE - SCIE	4.432	Q1	0.65
Acta Metallurgica Sinica-English Letters	1006-7191	2194-1289	METALLURGY & METALLURGICAL ENGINEERING - SCIE	3.024	Q2	0.72
Tekstil ve Konfeksiyon	1300-3356	1300-3356	MATERIALS SCIENCE, TEXTILES - SCIE	0.703	Q4	0.17
Open Chemistry	2391-5420	2391-5420	CHEMISTRY, MULTIDISCIPLINARY - SCIE	1.977	Q3	0.28
Theoretical Biology Forum	2282-2593	2283-7175	BIOLOGY - SCIE	0.455	Q4	0.04
Physical and Engineering Sciences in Medicine	2662-4729	2662-4737	ENGINEERING, BIOMEDICAL - SCIE$RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE	7.099	Q1	1.60
NEPHROLOGY	1320-5358	1440-1797	UROLOGY & NEPHROLOGY - SCIE	2.358	Q3	0.70
