Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV	0954-0121	1360-0451	HEALTH POLICY & SERVICES - SSCI$PSYCHOLOGY, MULTIDISCIPLINARY - SSCI$PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI$SOCIAL SCIENCES, BIOMEDICAL - SSCI	1.887	Q3	0.61
INTERNATIONAL JOURNAL OF NURSING STUDIES	0020-7489	1873-491X	NURSING - SSCI	6.612	Q1	2.61
MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT	0748-1756	1947-6302	PSYCHOLOGY, APPLIED - SSCI$PSYCHOLOGY, EDUCATIONAL - SSCI	1.386	Q4	0.44
CONTEMPORARY SOCIOLOGY-A JOURNAL OF REVIEWS	0094-3061	1939-8638	SOCIOLOGY - SSCI	0.357	Q4	0.39
Creativity and Innovation Management	0963-1690	1467-8691	MANAGEMENT - SSCI	3.644	Q3	0.84
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION	0950-0693	1464-5289	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.518	Q2	1.37
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL	0034-5806	1865-8431	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI	0.333	Q4	0.13
Space and Culture	1206-3312	1552-8308	CULTURAL STUDIES - SSCI$GEOGRAPHY - SSCI	0.971	Q3	0.62
Journal of Human Rights	1475-4835	1475-4843	INTERNATIONAL RELATIONS - SSCI$POLITICAL SCIENCE - SSCI	1.481	Q3	0.58
African Journal of Library Archives and Information Science	0795-4778	0795-4778	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI	0.207	Q4	0.14
International Journal of Clinical and Health Psychology	1697-2600	1576-7329	PSYCHOLOGY, CLINICAL - SSCI	5.900	Q1	1.70
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS	1068-5502	2327-8285	ECONOMICS - SSCI	1.826	Q3	0.62
Journal of Australian Political Economy	0156-5826	1839-3675	ECONOMICS - SSCI$POLITICAL SCIENCE - SSCI	1.833	Q3	0.51
Journal of Law and the Biosciences	2053-9711	2053-9711	ETHICS - SSCI$LAW - SSCI	6.066	Q1	2.57
INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW	0019-4646	0973-0893	HISTORY - SSCI	0.316	Q4	1.39
Journal of Informetrics	1751-1577	1875-5879	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI	4.373	Q2	1.42
Sexuality Research and Social Policy	1868-9884	1553-6610	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	2.484	Q2	1.63
BRITISH JOURNAL OF SOCIAL WORK	0045-3102	1468-263X	SOCIAL WORK - SSCI	2.352	Q2	1.13
Child Abuse Review	0952-9136	1099-0852	FAMILY STUDIES - SSCI$SOCIAL WORK - SSCI	2.086	Q2	0.93
Australasian Psychiatry	1039-8562	1440-1665	PSYCHIATRY - SSCI	1.837	Q4	0.36
